window_id,truth_id,event_group_id,source_split,forest_class_code,forest_class_label,before_date,after_date,target_date,post_event_delay_days,method,evaluation_scope,event_pixels_total,event_pixels,background_pixels,event_history_support_fraction,eligible_history_support_fraction,event_residual_mean,background_residual_mean,residual_ratio,auroc,auprc,topk_iou,topk_precision,topk_recall
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_ssm,all_target,121,121,3798,0.0,0.692138671875,0.1306250244379043,0.0374991185963153,3.4834158420562744,0.9317354936700046,0.2843502555624054,0.198019801980198,0.3305785123966942,0.3305785123966942
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_ssm,history_supported,121,0,2834,0.0,0.692138671875,,0.0113847889006137,,,,,,
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,direct_pair,all_target,27,27,4000,1.0,1.0,0.0743172764778137,0.0283816158771514,2.6185004711151123,0.7611249999999999,0.1499508984667751,0.08,0.1481481481481481,0.1481481481481481
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,direct_pair,history_supported,27,27,4000,1.0,1.0,0.0743172764778137,0.0283816158771514,2.6185004711151123,0.7611249999999999,0.1499508984667751,0.08,0.1481481481481481,0.1481481481481481
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,seasonal_median,all_target,27,27,4000,1.0,1.0,0.0755667015910148,0.0230369884520769,3.28023362159729,0.8589953703703703,0.0832455882510655,0.0588235294117647,0.1111111111111111,0.1111111111111111
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,seasonal_median,history_supported,27,27,4000,1.0,1.0,0.0755667015910148,0.0230369884520769,3.28023362159729,0.8589953703703703,0.0832455882510655,0.0588235294117647,0.1111111111111111,0.1111111111111111
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,validation_selected_physical,all_target,27,27,4000,1.0,1.0,0.0728288739919662,0.0242769420146942,2.9999196529388428,0.834925925925926,0.1058270123996557,0.08,0.1481481481481481,0.1481481481481481
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,validation_selected_physical,history_supported,27,27,4000,1.0,1.0,0.0728288739919662,0.0242769420146942,2.9999196529388428,0.834925925925926,0.1058270123996557,0.08,0.1481481481481481,0.1481481481481481
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,gru_h8,all_target,27,27,4000,1.0,1.0,0.0717899873852729,0.0211595147848129,3.3927993774414062,0.8571574074074073,0.0858566565448218,0.0588235294117647,0.1111111111111111,0.1111111111111111
TRUTH_78783eb3a69cd2af50c62e47,TRUTH_78783eb3a69cd2af50c62e47,EVG2022_de503aca1e74,train_2016_2022,1,闊葉林,2022-07-13,2022-09-21,2022-10-15,24,gru_h8,history_supported,27,27,4000,1.0,1.0,0.0717899873852729,0.0211595147848129,3.3927993774414062,0.8571574074074073,0.0858566565448218,0.0588235294117647,0.1111111111111111,0.1111111111111111
