stratum,horizon_seasons,method,groups,windows,spatial_blocks,mae,mape_percent,psnr_db,sam_degrees
class:conifer,4,validation_selected_gru,128,16,15,0.0103571256549912,12.696310017257929,36.65307983626411,3.275026076473296
class:conifer,4,validation_selected_physical,128,16,15,0.0111386067346757,15.711389403790236,36.33571516449594,3.3796648113057017
class:conifer,4,validation_selected_transformer,128,16,15,0.0104641651450947,13.137227796018124,36.51687741564864,3.32485113106668
class:bamboo,all,forest_conditioned_gru,384,16,16,0.0125745773863551,12.176939122378826,34.239028089837966,3.256709808173279
class:bamboo,all,forest_conditioned_ssm,384,16,16,0.0128176526547273,12.443514734506609,34.04238800210069,3.308863226634761
class:bamboo,all,gru_h16,384,16,16,0.0132936811605759,12.621314874539772,33.60081262878806,3.437012273507813
class:bamboo,all,gru_h8,384,16,16,0.0126675282784466,12.009560481955608,34.08520030243713,3.287562881285945
class:bamboo,all,last_observation,384,16,16,0.0235121947844163,22.02112693091233,29.44614329250267,4.736024481244385
class:bamboo,all,presto_frozen,384,16,16,0.0132936945058948,12.706338426719109,33.6175749258444,3.4365421859547496
class:bamboo,all,seasonal_median,384,16,16,0.0135463550698962,13.23152869939804,33.487812610940274,3.5539246403301754
class:bamboo,all,shared_residual_ssm,384,16,16,0.0129638627028422,12.238447926938534,33.8243097249563,3.349552932195365
class:bamboo,all,transformer_h16,384,16,16,0.0133239974966272,12.738552988817297,33.595925805801954,3.44409003512313
class:bamboo,all,transformer_h8,384,16,16,0.0129380158505227,12.190160221109789,33.858041064051,3.3627316166336336
class:bamboo,all,validation_selected_gru,384,16,16,0.0126675282784466,12.009560481955608,34.08520030243713,3.287562881285945
class:bamboo,all,validation_selected_physical,384,16,16,0.0134703234580229,13.714328598231075,33.68724091757738,3.5138803217560053
class:bamboo,all,validation_selected_transformer,384,16,16,0.0129380158505227,12.190160221109789,33.858041064051,3.3627316166336336
class:bamboo,1,forest_conditioned_gru,128,16,16,0.0125413108944485,12.164609842002392,34.223641193478926,3.2485599545761943
class:bamboo,1,forest_conditioned_ssm,128,16,16,0.0128208476671716,12.408781122416258,34.019092374850814,3.2985389744862914
class:bamboo,1,gru_h16,128,16,16,0.0133023173075343,12.644476387649776,33.541381110557346,3.436112751252949
class:bamboo,1,gru_h8,128,16,16,0.0126536040697828,12.014989484101534,34.026853506493254,3.293987464159727
class:bamboo,1,last_observation,128,16,16,0.0244071260749478,22.620396733284,28.838794286009367,4.798468951135874
class:bamboo,1,presto_frozen,128,16,16,0.0133254581342043,12.758480351418257,33.54650729217436,3.4437967045232654
class:bamboo,1,seasonal_median,128,16,16,0.013577273064584,13.266481149941685,33.41409907255844,3.5637919399887323
class:bamboo,1,shared_residual_ssm,128,16,16,0.0129667681285354,12.226520948112013,33.77730060270713,3.3459198996424675
class:bamboo,1,transformer_h16,128,16,16,0.0133555732354579,12.791963573545218,33.52481758259239,3.4498908212408423
class:bamboo,1,transformer_h8,128,16,16,0.0129912339252769,12.325129330158234,33.77221378702928,3.3855402087792754
class:bamboo,1,validation_selected_gru,128,16,16,0.0126536040697828,12.014989484101534,34.026853506493254,3.293987464159727
class:bamboo,1,validation_selected_physical,128,16,16,0.0134990612714318,13.716900173574686,33.66070727097599,3.5165288345888257
class:bamboo,1,validation_selected_transformer,128,16,16,0.0129912339252769,12.325129330158234,33.77221378702928,3.3855402087792754
class:bamboo,2,forest_conditioned_gru,128,16,16,0.0124170364797464,12.07884906604886,34.350051304276995,3.2274666568264365
class:bamboo,2,forest_conditioned_ssm,128,16,16,0.0126643795083509,12.28468392789364,34.12438046877978,3.2759092105552554
class:bamboo,2,gru_h16,128,16,16,0.0131710194182232,12.478323724120855,33.67417927748188,3.407931645400822
class:bamboo,2,gru_h8,128,16,16,0.0125022143547539,11.874124355614184,34.2018085661213,3.2563618449494243
class:bamboo,2,last_observation,128,16,16,0.0303768749290611,27.42179474234581,27.218063315299304,5.382423907518387
class:bamboo,2,presto_frozen,128,16,16,0.0131832429069618,12.570465721189976,33.6852709884039,3.404850614257157
class:bamboo,2,seasonal_median,128,16,16,0.01344103082738,13.100046291947365,33.555107194373186,3.5245410930365324
class:bamboo,2,shared_residual_ssm,128,16,16,0.0128059810449485,12.046369295567274,33.91568491124873,3.30990652833134
class:bamboo,2,transformer_h16,128,16,16,0.0132111067396181,12.603064257651567,33.663762324168204,3.413107883185148
class:bamboo,2,transformer_h8,128,16,16,0.0127952819275378,12.039455067366362,33.950791222641854,3.334524024277925
class:bamboo,2,validation_selected_gru,128,16,16,0.0125022143547539,11.874124355614184,34.2018085661213,3.2563618449494243
class:bamboo,2,validation_selected_physical,128,16,16,0.0133644442648801,13.61788272112608,33.73485970760823,3.489061429165304
class:bamboo,2,validation_selected_transformer,128,16,16,0.0127952819275378,12.039455067366362,33.950791222641854,3.334524024277925
class:bamboo,4,forest_conditioned_gru,128,16,16,0.0127653847848705,12.287358459085226,34.14339177175799,3.294102813117206
class:bamboo,4,forest_conditioned_ssm,128,16,16,0.0129677307886595,12.637079153209925,33.98369116267145,3.3521414948627357
class:bamboo,4,gru_h16,128,16,16,0.0134077067559701,12.741144511848688,33.58687749832496,3.466992423869669
class:bamboo,4,gru_h8,128,16,16,0.0128467664108029,12.139567606151104,34.02693883469684,3.3123393347486854
class:bamboo,4,last_observation,128,16,16,0.01575258334924,16.0211893171072,32.281572276199334,4.027180585078895
class:bamboo,4,presto_frozen,128,16,16,0.0133723824765183,12.790069207549095,33.620946496954964,3.4609792390838265
class:bamboo,4,seasonal_median,128,16,16,0.0136207613177248,13.328058656305076,33.494231565889194,3.573440887965262
class:bamboo,4,shared_residual_ssm,128,16,16,0.0131188389350427,12.442453537136316,33.77994366091304,3.392832368612289
class:bamboo,4,transformer_h16,128,16,16,0.0134053125148057,12.820631135255098,33.59919751064527,3.4692714009433985
class:bamboo,4,transformer_h8,128,16,16,0.0130275316987535,12.205896265804768,33.851118182481855,3.3681306168437004
class:bamboo,4,validation_selected_gru,128,16,16,0.0128467664108029,12.139567606151104,34.02693883469684,3.3123393347486854
class:bamboo,4,validation_selected_physical,128,16,16,0.0135474648377567,13.808202899992466,33.66615577414791,3.5360507015138865
